DATE,OPEN,CLOSE,HIGH,LOW,VWAP,NO OF TRADES
2022-12-06,3920.0,4031.8,4057.0,3909.0,4013.11,121859
2022-12-07,4031.0,3999.3,4057.9,3984.55,4016.92,63713
2022-12-08,4010.0,4025.0,4045.0,4003.35,4027.23,43843
2022-12-09,4044.0,3996.8,4094.0,3941.5,4020.27,79946
2022-12-12,3997.0,4016.7,4031.9,3968.75,4008.66,38510
2022-12-13,4027.8,4060.2,4072.0,4011.6,4047.97,47587
2022-12-14,4076.0,4055.8,4092.05,4040.0,4067.51,42940
2022-12-15,4055.8,4043.75,4073.05,4025.0,4051.93,37452
2022-12-16,4018.9,3980.8,4047.9,3944.05,3992.46,55399
2022-12-19,3988.0,4075.3,4104.0,3971.45,4030.64,53127
2022-12-20,4095.0,4165.3,4172.0,4066.4,4125.2,131294
2022-12-21,4175.0,3901.95,4190.0,3883.25,4005.13,167340
2022-12-22,3948.0,3868.55,3948.0,3817.05,3877.13,134348
2022-12-23,3822.0,3642.2,3848.0,3616.8,3730.4,140276
2022-12-26,3653.0,3716.75,3744.9,3620.0,3711.03,99922
2022-12-27,3732.45,3769.65,3797.9,3695.05,3740.71,72966
2022-12-28,3756.05,3797.7,3825.0,3745.0,3784.81,58991
2022-12-29,3790.0,3810.6,3825.0,3748.1,3790.66,67660
2022-12-30,3829.7,3858.35,3898.0,3822.05,3858.43,59598
2023-01-02,3870.0,3841.2,3874.0,3822.55,3847.82,42124
2023-01-03,3841.9,3830.95,3852.85,3791.0,3830.96,38042
2023-01-04,3839.0,3827.05,3874.95,3803.6,3833.86,47586
2023-01-05,3827.05,3829.8,3842.4,3756.9,3813.43,49242
2023-01-06,3829.0,3824.25,3868.25,3797.05,3834.29,44367
2023-01-09,3843.0,3855.3,3880.0,3811.25,3850.6,42423
2023-01-10,3859.0,3646.9,3862.05,3555.0,3672.11,161278
2023-01-11,3660.0,3635.8,3664.5,3560.1,3616.79,104118
2023-01-12,3642.5,3647.2,3679.0,3612.0,3644.0,61175
2023-01-13,3651.2,3721.15,3736.05,3642.2,3693.45,71398
2023-01-16,3720.0,3619.8,3739.95,3600.0,3637.65,81657
2023-01-17,3620.0,3639.35,3649.6,3560.2,3615.39,75220
2023-01-18,3648.0,3596.7,3648.0,3527.1,3590.24,123459
2023-01-19,3470.0,3463.55,3537.7,3426.7,3468.31,153420
2023-01-20,3450.0,3456.15,3477.35,3440.95,3456.32,55259
2023-01-23,3443.05,3436.35,3460.0,3412.55,3435.17,45252
2023-01-24,3447.45,3442.0,3508.0,3430.0,3458.77,62403
2023-01-25,3422.0,3388.95,3428.0,3315.0,3372.68,114072
2023-01-27,3335.0,2761.45,3346.5,2712.0,3010.35,562994
2023-01-30,2850.0,2892.85,3037.55,2665.0,2865.44,907742
2023-01-31,2980.0,2973.9,3073.6,2906.0,2984.79,497618
2023-02-01,2995.0,2135.35,3010.75,1941.2,2540.21,566482
2023-02-02,2348.85,1565.25,2348.85,1494.75,1827.68,1563346
2023-02-03,1490.0,1586.8,1679.9,1017.45,1354.92,1704970
