Date,Cashflow
2023/01/02,0
2023/01/03,0
2023/01/04,0
2023/01/05,0
2023/01/06,0
2023/01/09,0
2023/01/10,0
2023/01/11,0
2023/01/12,0
2023/01/13,0
2023/01/16,0
2023/01/17,0
2023/01/18,0
2023/01/19,0
2023/01/20,0
2023/01/23,0
2023/01/24,0
2023/01/25,0
2023/01/27,0
2023/01/30,0
2023/01/31,0
2023/02/01,0
2023/02/02,0
2023/02/03,0
2023/02/06,0
2023/02/07,0
2023/02/08,-549.75
2023/02/09,-1100.55
2023/02/10,-1100.55
2023/02/13,-1100.55
2023/02/14,-1100.55
2023/02/15,-1100.55
2023/02/16,-1100.55
2023/02/17,-1100.55
2023/02/20,-1100.55
2023/02/21,-1100.55
2023/02/22,-584.2
2023/02/23,-584.2
2023/02/24,-584.2
2023/02/27,-584.2
2023/02/28,-584.2
2023/03/01,-584.2
2023/03/02,-584.2
2023/03/03,-584.2
2023/03/06,-584.2
2023/03/08,-584.2
2023/03/09,-584.2
2023/03/10,-584.2
2023/03/13,-584.2
2023/03/14,-584.2
2023/03/15,-66.65
2023/03/16,-66.65
2023/03/17,-66.65
2023/03/20,-66.65
2023/03/21,-66.65
2023/03/22,-66.65
2023/03/23,-66.65
2023/03/24,-66.65
2023/03/27,-66.65
2023/03/28,-66.65
2023/03/29,-66.65
2023/03/31,-66.65
2023/04/03,-66.65
2023/04/05,-66.65
2023/04/06,-66.65
2023/04/10,-66.65
2023/04/11,-66.65
2023/04/12,-66.65
2023/04/13,-66.65
2023/04/17,-66.65
2023/04/18,-66.65
2023/04/19,-66.65
2023/04/20,-66.65
2023/04/21,-66.65
2023/04/24,-66.65
2023/04/25,-66.65
2023/04/26,-66.65
2023/04/27,-66.65
2023/04/28,-66.65
2023/05/02,-66.65
2023/05/03,-66.65
2023/05/04,-66.65
2023/05/05,-66.65
2023/05/08,-66.65
2023/05/09,-66.65
2023/05/10,-66.65
2023/05/11,-66.65
2023/05/12,-66.65
2023/05/15,-66.65
2023/05/16,-66.65
2023/05/17,-66.65
2023/05/18,-66.65
2023/05/19,-66.65
2023/05/22,-66.65
2023/05/23,-66.65
2023/05/24,-66.65
2023/05/25,-66.65
2023/05/26,-66.65
2023/05/29,-66.65
2023/05/30,-66.65
2023/05/31,-66.65
2023/06/01,-66.65
2023/06/02,-66.65
2023/06/05,-66.65
2023/06/06,-66.65
2023/06/07,-66.65
2023/06/08,-66.65
2023/06/09,-66.65
2023/06/12,-66.65
2023/06/13,-66.65
2023/06/14,-66.65
2023/06/15,-66.65
2023/06/16,-66.65
2023/06/19,-66.65
2023/06/20,-66.65
2023/06/21,-66.65
2023/06/22,-66.65
2023/06/23,487.95
2023/06/26,487.95
2023/06/27,487.95
2023/06/28,487.95
2023/06/30,487.95
2023/07/03,-97.5
2023/07/04,-686.75
2023/07/05,-1277.35
2023/07/06,-1277.35
2023/07/07,-1277.35
2023/07/10,-1277.35
2023/07/11,-1277.35
2023/07/12,-1277.35
2023/07/13,-1277.35
2023/07/14,-1277.35
2023/07/17,-1277.35
2023/07/18,-1277.35
2023/07/19,-1277.35
2023/07/20,-1277.35
2023/07/21,-1277.35
2023/07/24,-1277.35
2023/07/25,-1277.35
2023/07/26,-1277.35
2023/07/27,-1277.35
2023/07/28,-1277.35
2023/07/31,-1277.35
2023/08/01,-1277.35
2023/08/02,-1277.35
2023/08/03,-1277.35
2023/08/04,-1277.35
2023/08/07,-709.45
2023/08/08,-709.45
2023/08/09,-709.45
2023/08/10,-709.45
2023/08/11,-709.45
2023/08/14,-709.45
2023/08/16,-709.45
2023/08/17,-709.45
2023/08/18,-709.45
2023/08/21,-709.45
2023/08/22,-709.45
2023/08/23,-709.45
2023/08/24,-709.45
2023/08/25,-709.45
2023/08/28,-709.45
2023/08/29,-709.45
2023/08/30,-709.45
2023/08/31,-709.45
2023/09/01,-709.45
2023/09/04,-709.45
2023/09/05,-709.45
2023/09/06,-709.45
2023/09/07,-709.45
2023/09/08,-709.45
2023/09/11,-709.45
2023/09/12,-709.45
2023/09/13,-709.45
2023/09/14,-709.45
2023/09/15,-709.45
2023/09/18,-709.45
2023/09/20,-709.45
2023/09/21,-709.45
2023/09/22,-709.45
2023/09/25,-709.45
2023/09/26,-709.45
2023/09/27,-709.45
2023/09/28,-709.45
2023/09/29,-709.45
2023/10/03,-709.45
2023/10/04,-709.45
2023/10/05,-709.45
2023/10/06,-709.45
2023/10/09,-709.45
2023/10/10,-709.45
2023/10/11,-709.45
2023/10/12,-709.45
2023/10/13,-709.45
2023/10/16,-709.45
2023/10/17,-709.45
2023/10/18,-709.45
2023/10/19,-709.45
2023/10/20,-709.45
2023/10/23,-709.45
2023/10/25,-709.45
2023/10/26,-709.45
2023/10/27,-709.45
2023/10/30,-709.45
2023/10/31,-709.45
2023/11/01,-709.45
2023/11/02,-1281.55
2023/11/03,-1281.55
2023/11/06,-1281.55
2023/11/07,-1281.55
2023/11/08,-1281.55
2023/11/09,-1281.55
2023/11/10,-1281.55
2023/11/12,-1281.55
2023/11/13,-1281.55
2023/11/15,-1281.55
2023/11/16,-1281.55
2023/11/17,-1281.55
2023/11/20,-1281.55
2023/11/21,-1281.55
2023/11/22,-1281.55
2023/11/23,-1281.55
2023/11/24,-1281.55
2023/11/28,-1281.55
2023/11/29,-1281.55
2023/11/30,-1281.55
2023/12/01,-1281.55
2023/12/04,-1281.55
2023/12/05,-1281.55
2023/12/06,-1281.55
2023/12/07,-1281.55
2023/12/08,-1281.55
2023/12/11,-1281.55
2023/12/12,-1281.55
2023/12/13,-1281.55
2023/12/14,-1281.55
2023/12/15,-1281.55
2023/12/18,-1281.55
2023/12/19,-1281.55
2023/12/20,-1281.55
2023/12/21,-1281.55
2023/12/22,-1281.55
2023/12/26,-1281.55
2023/12/27,-1281.55
2023/12/28,-1281.55
2023/12/29,-1281.55
2024/01/01,-1281.55
