DATE,OPEN,CLOSE,HIGH,LOW,VWAP,NO OF TRADES
2022-12-26,574.0,597.1,601.7,570.7,589.64,210003
2022-12-27,600.4,601.9,603.1,593.3,598.21,206219
2022-12-28,600.9,601.05,607.0,598.55,602.94,143945
2022-12-29,600.0,611.8,618.0,597.15,608.16,168187
2022-12-30,615.25,613.7,620.55,611.35,615.43,158347
2023-01-02,614.95,612.2,619.2,611.2,614.42,125418
2023-01-03,614.5,612.4,616.6,610.0,613.26,122799
2023-01-04,611.85,605.2,614.95,604.0,607.74,113548
2023-01-05,607.0,605.1,611.6,601.95,605.84,146571
2023-01-06,607.4,600.65,607.45,597.0,601.57,154179
2023-01-09,605.0,607.7,609.0,600.1,606.07,160223
2023-01-10,608.45,595.15,609.0,590.6,596.1,187602
2023-01-11,596.45,596.7,599.5,592.25,596.73,120446
2023-01-12,597.9,594.9,597.9,590.1,593.57,195861
2023-01-13,597.9,600.1,602.9,593.65,598.73,122377
2023-01-16,603.0,603.0,606.1,600.6,603.22,114056
2023-01-17,603.0,592.95,606.0,586.05,593.93,179000
2023-01-18,595.9,591.45,597.15,587.6,591.61,187691
2023-01-19,591.0,589.85,591.75,587.55,589.57,159313
2023-01-20,593.8,592.2,596.6,590.8,593.93,114106
2023-01-23,598.5,600.45,601.75,592.95,599.43,122483
2023-01-24,603.5,594.35,604.6,593.05,597.94,143693
2023-01-25,595.85,568.7,595.85,567.4,574.28,441882
2023-01-27,568.0,539.95,568.55,532.25,548.08,501251
2023-01-30,536.0,538.2,554.35,525.2,536.97,590951
2023-01-31,545.0,553.5,557.0,537.85,550.83,284762
2023-02-01,561.4,527.35,565.0,499.35,541.41,498247
2023-02-02,520.2,528.1,532.65,502.5,521.91,471242
2023-02-03,536.0,544.2,545.95,519.15,535.23,444091
2023-02-06,558.8,545.4,558.8,536.55,545.24,266976
2023-02-07,548.0,547.1,551.4,541.05,546.83,343935
2023-02-08,550.0,549.75,554.5,545.5,549.76,244248
2023-02-09,552.0,550.8,552.0,542.8,548.33,147809
2023-02-10,546.5,553.05,557.25,546.5,553.81,179516
2023-02-13,554.0,537.5,556.9,533.3,539.69,248043
2023-02-14,539.95,540.85,544.6,530.75,536.92,221342
2023-02-15,540.0,542.25,544.65,536.8,541.31,207687
2023-02-16,546.85,540.1,546.85,538.5,542.25,219926
2023-02-17,538.5,531.0,539.65,527.75,532.32,220159
