Date,Cashflow
2023/01/02,0
2023/01/03,0
2023/01/04,0
2023/01/05,0
2023/01/06,0
2023/01/09,0
2023/01/10,0
2023/01/11,0
2023/01/12,0
2023/01/13,0
2023/01/16,0
2023/01/17,0
2023/01/18,0
2023/01/19,-2873.7
2023/01/20,-5737.65
2023/01/23,-8573.55
2023/01/24,-8573.55
2023/01/25,-8573.55
2023/01/27,-4130.55
2023/01/30,-6485.2
2023/01/31,-6485.2
2023/02/01,-4877.2
2023/02/02,-4877.2
2023/02/03,-5919.8
2023/02/06,-6947.1
2023/02/07,-6947.1
2023/02/08,-6947.1
2023/02/09,-6947.1
2023/02/10,-6947.1
2023/02/13,-6947.1
2023/02/14,-6947.1
2023/02/15,-6947.1
2023/02/16,-6947.1
2023/02/17,-6947.1
2023/02/20,-6947.1
2023/02/21,-6947.1
2023/02/22,-6947.1
2023/02/23,-6947.1
2023/02/24,-6947.1
2023/02/27,-6947.1
2023/02/28,-6947.1
2023/03/01,-6947.1
2023/03/02,-6947.1
2023/03/03,-6947.1
2023/03/06,-6947.1
2023/03/08,-6947.1
2023/03/09,-6947.1
2023/03/10,-6947.1
2023/03/13,-6947.1
2023/03/14,-6947.1
2023/03/15,-6947.1
2023/03/16,-6947.1
2023/03/17,-6947.1
2023/03/20,-6947.1
2023/03/21,-6947.1
2023/03/22,-6947.1
2023/03/23,-6947.1
2023/03/24,-6947.1
2023/03/27,-6947.1
2023/03/28,-6947.1
2023/03/29,-6947.1
2023/03/31,-6947.1
2023/04/03,-6947.1
2023/04/05,-6947.1
2023/04/06,-6947.1
2023/04/10,-6947.1
2023/04/11,-6947.1
2023/04/12,-6947.1
2023/04/13,-6947.1
2023/04/17,-6947.1
2023/04/18,-6947.1
2023/04/19,-6947.1
2023/04/20,-6947.1
2023/04/21,-6947.1
2023/04/24,-6947.1
2023/04/25,-6947.1
2023/04/26,-6947.1
2023/04/27,-6947.1
2023/04/28,-6947.1
2023/05/02,-6947.1
2023/05/03,-6947.1
2023/05/04,-6947.1
2023/05/05,-6947.1
2023/05/08,-6947.1
2023/05/09,-6947.1
2023/05/10,-6947.1
2023/05/11,-5535.9
2023/05/12,-5535.9
2023/05/15,-5535.9
2023/05/16,-5535.9
2023/05/17,-5535.9
2023/05/18,-5535.9
2023/05/19,-5535.9
2023/05/22,-5535.9
2023/05/23,-3483.8
2023/05/24,-1590.9
2023/05/25,365.3
2023/05/26,365.3
2023/05/29,365.3
2023/05/30,365.3
2023/05/31,365.3
2023/06/01,365.3
2023/06/02,365.3
2023/06/05,365.3
2023/06/06,365.3
2023/06/07,365.3
2023/06/08,365.3
2023/06/09,365.3
2023/06/12,365.3
2023/06/13,365.3
2023/06/14,365.3
2023/06/15,365.3
2023/06/16,365.3
2023/06/19,365.3
2023/06/20,365.3
2023/06/21,365.3
2023/06/22,365.3
2023/06/23,-1313.65
2023/06/26,-3052.2
2023/06/27,-3052.2
2023/06/28,-3052.2
2023/06/30,-3052.2
2023/07/03,-3052.2
2023/07/04,-3052.2
2023/07/05,-3052.2
2023/07/06,-3052.2
2023/07/07,-3052.2
2023/07/10,-3052.2
2023/07/11,-3052.2
2023/07/12,-3052.2
2023/07/13,-3052.2
2023/07/14,-3052.2
2023/07/17,-3052.2
2023/07/18,-3052.2
2023/07/19,-3052.2
2023/07/20,-3052.2
2023/07/21,-3052.2
2023/07/24,-3052.2
2023/07/25,-3052.2
2023/07/26,-1196.6
2023/07/27,-1196.6
2023/07/28,-1196.6
2023/07/31,675.4
2023/08/01,675.4
2023/08/02,675.4
2023/08/03,675.4
2023/08/04,675.4
2023/08/07,675.4
2023/08/08,675.4
2023/08/09,675.4
2023/08/10,675.4
2023/08/11,675.4
2023/08/14,675.4
2023/08/16,675.4
2023/08/17,675.4
2023/08/18,675.4
2023/08/21,675.4
2023/08/22,675.4
2023/08/23,675.4
2023/08/24,675.4
2023/08/25,675.4
2023/08/28,675.4
2023/08/29,675.4
2023/08/30,675.4
2023/08/31,675.4
2023/09/01,675.4
2023/09/04,675.4
2023/09/05,675.4
2023/09/06,675.4
2023/09/07,675.4
2023/09/08,675.4
2023/09/11,675.4
2023/09/12,675.4
2023/09/13,675.4
2023/09/14,675.4
2023/09/15,675.4
2023/09/18,675.4
2023/09/20,675.4
2023/09/21,675.4
2023/09/22,675.4
2023/09/25,675.4
2023/09/26,675.4
2023/09/27,675.4
2023/09/28,675.4
2023/09/29,-1139.95
2023/10/03,-2924.25
2023/10/04,-2924.25
2023/10/05,-2924.25
2023/10/06,-2924.25
2023/10/09,-2924.25
2023/10/10,-2924.25
2023/10/11,-2924.25
2023/10/12,-2924.25
2023/10/13,-2924.25
2023/10/16,-2924.25
2023/10/17,-2924.25
2023/10/18,-2924.25
2023/10/19,-2924.25
2023/10/20,-2924.25
2023/10/23,-4679.95
2023/10/25,-4679.95
2023/10/26,-4679.95
2023/10/27,-4679.95
2023/10/30,-4679.95
2023/10/31,-4679.95
2023/11/01,-4679.95
2023/11/02,-4679.95
2023/11/03,-4679.95
2023/11/06,-4679.95
2023/11/07,-4679.95
2023/11/08,-4679.95
2023/11/09,-3043.65
2023/11/10,-3043.65
2023/11/12,-3043.65
2023/11/13,-3043.65
2023/11/15,-3043.65
2023/11/16,-3043.65
2023/11/17,-3043.65
2023/11/20,-3043.65
2023/11/21,-3043.65
2023/11/22,-3043.65
2023/11/23,-3043.65
2023/11/24,-3043.65
2023/11/28,-1184.6
2023/11/29,643.4
2023/11/30,643.4
2023/12/01,643.4
2023/12/04,643.4
2023/12/05,643.4
2023/12/06,643.4
2023/12/07,643.4
2023/12/08,643.4
2023/12/11,643.4
2023/12/12,643.4
2023/12/13,643.4
2023/12/14,643.4
2023/12/15,643.4
2023/12/18,643.4
2023/12/19,643.4
2023/12/20,643.4
2023/12/21,643.4
2023/12/22,643.4
2023/12/26,643.4
2023/12/27,643.4
2023/12/28,643.4
2023/12/29,643.4
2024/01/01,643.4
